Season,Team,GD,Pts
17-18,Manchester City,79,100
17-18,Manchester United,40,81
17-18,Tottenham Hotspur,38,77
17-18,Liverpool,46,75
17-18,Chelsea,24,70
17-18,Arsenal,23,63
17-18,Burnley,-3,54
17-18,Everton,-14,49
17-18,Leicester City,-4,47
17-18,Newcastle United,-8,44
17-18,Crystal Palace,-10,44
17-18,Bournemouth,-16,44
17-18,West Ham United,-20,42
17-18,Watford,-20,41
17-18,Brighton & Hove Albion,-20,40
17-18,Huddersfield Town,-30,37
17-18,Southampton,-19,36
17-18,Swansea City,-28,33
17-18,Stoke City,-33,33
17-18,West Bromwich Albion,-25,31
18-19,Manchester City,72,98
18-19,Liverpool,67,97
18-19,Chelsea,24,72
18-19,Tottenham Hotspur,28,71
18-19,Arsenal,22,70
18-19,Manchester United,11,66
18-19,Wolverhampton Wanderers,1,57
18-19,Everton,8,54
18-19,Leicester City,3,52
18-19,West Ham United,-3,52
18-19,Watford,-7,50
18-19,Crystal Palace,-2,49
18-19,Newcastle United,-6,45
18-19,Bournemouth,-14,45
18-19,Burnley,-23,40
18-19,Southampton,-20,39
18-19,Brighton & Hove Albion,-25,36
18-19,Cardiff City,-35,34
18-19,Fulham,-47,26
18-19,Huddersfield Town,-54,16
19-20,Liverpool,52,99
19-20,Manchester City,67,81
19-20,Manchester United,30,66
19-20,Chelsea,15,66
19-20,Leicester City,26,62
19-20,Tottenham Hotspur,14,59
19-20,Wolverhampton Wanderers,11,59
19-20,Arsenal,8,56
19-20,Sheffield United,0,54
19-20,Burnley,-7,54
19-20,Southampton,-9,52
19-20,Everton,-12,49
19-20,Newcastle United,-20,44
19-20,Crystal Palace,-19,43
19-20,Brighton & Hove Albion,-15,41
19-20,West Ham United,-13,39
19-20,Aston Villa,-26,35
19-20,Bournemouth,-25,34
19-20,Watford,-28,34
19-20,Norwich City,-49,21
20-21,Manchester City,51,86
20-21,Manchester United,29,74
20-21,Liverpool,26,69
20-21,Chelsea,22,67
20-21,Leicester City,18,66
20-21,West Ham United,15,65
20-21,Tottenham Hotspur,23,62
20-21,Arsenal,16,61
20-21,Leeds United,8,59
20-21,Everton,-1,59
20-21,Aston Villa,9,55
20-21,Newcastle United,-16,45
20-21,Wolverhampton Wanderers,-16,45
20-21,Crystal Palace,-25,44
20-21,Southampton,-21,43
20-21,Brighton & Hove Albion,-6,41
20-21,Burnley,-22,39
20-21,Fulham,-26,28
20-21,West Bromwich Albion,-41,26
20-21,Sheffield United,-43,23
21-22,Manchester City,73,93
21-22,Liverpool,68,92
21-22,Chelsea,43,74
21-22,Tottenham Hotspur,29,71
21-22,Arsenal,13,69
21-22,Manchester United,0,58
21-22,West Ham United,9,56
21-22,Leicester City,3,52
21-22,Brighton & Hove Albion,-2,51
21-22,Wolverhampton Wanderers,-5,51
21-22,Newcastle United,-18,49
21-22,Crystal Palace,4,48
21-22,Brentford,-8,46
21-22,Aston Villa,-2,45
21-22,Southampton,-24,40
21-22,Everton,-23,39
21-22,Leeds United,-37,38
21-22,Burnley,-19,35
21-22,Watford,-43,23
21-22,Norwich City,-61,22
